local_government,tax,fy_total,fy
FISHER,INC,321354.93,2023
FISHER,INC,343549.08,2024
FISHER,INC,366456.84,2025
FITHIAN,INC,41400.81,2012
FITHIAN,INC,45496.4,2013
FITHIAN,INC,46235.16,2014
FITHIAN,INC,49741.88,2015
FITHIAN,INC,49160.97,2016
FITHIAN,INC,45929.22,2017
FITHIAN,INC,43843.32,2018
FITHIAN,INC,50144.35,2019
FITHIAN,INC,47703.8,2020
FITHIAN,INC,63002.08,2021
FITHIAN,INC,74716.2,2022
FITHIAN,INC,76053.62,2023
FITHIAN,INC,81306.2,2024
FITHIAN,INC,86726.85,2025
FLANAGAN,INC,94753.13,2012
FLANAGAN,INC,104126.82,2013
FLANAGAN,INC,105817.62,2014
FLANAGAN,INC,113841.53,2015
FLANAGAN,INC,112511.89,2016
FLANAGAN,INC,105116.19,2017
FLANAGAN,INC,100341.89,2018
FLANAGAN,INC,114763.73,2019
FLANAGAN,INC,109177.89,2020
FLANAGAN,INC,144190.42,2021
FLANAGAN,INC,160052.82,2022
FLANAGAN,INC,157404.71,2023
FLANAGAN,INC,168275.79,2024
FLANAGAN,INC,179495.69,2025
FLAT ROCK,INC,28255.52,2012
FLAT ROCK,INC,31050.45,2013
FLAT ROCK,INC,31554.49,2014
FLAT ROCK,INC,33947.81,2015
FLAT ROCK,INC,33551.47,2016
FLAT ROCK,INC,31345.55,2017
FLAT ROCK,INC,29922,2018
FLAT ROCK,INC,34222.52,2019
FLAT ROCK,INC,32556.94,2020
FLAT ROCK,INC,42997.7,2021
FLAT ROCK,INC,49963.04,2022
FLAT ROCK,INC,50339.01,2023
FLAT ROCK,INC,53815.63,2024
FLAT ROCK,INC,57402.99,2025
FLORA,INC,432789.77,2012
FLORA,INC,475606.13,2013
FLORA,INC,483329.99,2014
FLORA,INC,519980.31,2015
FLORA,INC,513908.13,2016
FLORA,INC,480126.39,2017
FLORA,INC,458319.48,2018
FLORA,INC,524191.28,2019
FLORA,INC,498678.18,2020
FLORA,INC,658600.67,2021
FLORA,INC,750490.5,2022
FLORA,INC,748531.54,2023
FLORA,INC,800228.41,2024
FLORA,INC,853585.99,2025
FLORENCE,INC,3244.17,2012
FLORENCE,INC,3565.14,2013
FLORENCE,INC,3623.03,2014
FLORENCE,INC,3897.07,2015
FLORENCE,INC,3851.31,2016
FLORENCE,INC,3598.54,2017
FLORENCE,INC,3435.21,2018
FLORENCE,INC,3928.84,2019
FLORENCE,INC,3737.35,2020
FLORENCE,INC,4935.85,2021
FLORENCE,INC,3679.01,2022
FLORENCE,INC,2649.73,2023
FLORENCE,INC,2832.75,2024
FLORENCE,INC,3020.69,2025
FLOSSMOOR,INC,807874.68,2012
FLOSSMOOR,INC,887798.67,2013
FLOSSMOOR,INC,902216.62,2014
FLOSSMOOR,INC,970630.65,2015
FLOSSMOOR,INC,959294.68,2016
FLOSSMOOR,INC,896235.76,2017
FLOSSMOOR,INC,855529.39,2018
FLOSSMOOR,INC,978490.31,2019
FLOSSMOOR,INC,930865.83,2020
FLOSSMOOR,INC,1229387.81,2021
FLOSSMOOR,INC,1476550.1,2022
FLOSSMOOR,INC,1512336.49,2023
FLOSSMOOR,INC,1616785.07,2024
FLOSSMOOR,INC,1724587.33,2025
FOOSLAND,INC,8621.89,2012
FOOSLAND,INC,9474.97,2013
FOOSLAND,INC,9628.88,2014
FOOSLAND,INC,10358.26,2015
FOOSLAND,INC,10237.18,2016
FOOSLAND,INC,9564.47,2017
FOOSLAND,INC,9130.24,2018
FOOSLAND,INC,10442.35,2019
FOOSLAND,INC,9934.12,2020
FOOSLAND,INC,13119.93,2021
FOOSLAND,INC,12832.65,2022
FOOSLAND,INC,11689.19,2023
FOOSLAND,INC,12496.49,2024
FOOSLAND,INC,13328.94,2025
FORD COUNTY GOVERNMENT,INC,306025.48,2012
FORD COUNTY GOVERNMENT,INC,336300.88,2013
FORD COUNTY GOVERNMENT,INC,341762.45,2014
FORD COUNTY GOVERNMENT,INC,367678.5,2015
FORD COUNTY GOVERNMENT,INC,363384.54,2016
FORD COUNTY GOVERNMENT,INC,339497.59,2017
FORD COUNTY GOVERNMENT,INC,324078.1,2018
FORD COUNTY GOVERNMENT,INC,370656.15,2019
FORD COUNTY GOVERNMENT,INC,352615.86,2020
FORD COUNTY GOVERNMENT,INC,465697.26,2021
FORD COUNTY GOVERNMENT,INC,511087.21,2022
FORD COUNTY GOVERNMENT,INC,499488.3,2023
FORD COUNTY GOVERNMENT,INC,533985.12,2024
FORD COUNTY GOVERNMENT,INC,569589.71,2025
FORD HEIGHTS,INC,235857.65,2012
FORD HEIGHTS,INC,259191.17,2013
FORD HEIGHTS,INC,263400.39,2014
FORD HEIGHTS,INC,283374.12,2015
FORD HEIGHTS,INC,280064.47,2016
FORD HEIGHTS,INC,261654.3,2017
FORD HEIGHTS,INC,249770.5,2018
FORD HEIGHTS,INC,285668.88,2019
FORD HEIGHTS,INC,271764.95,2020
FORD HEIGHTS,INC,358918,2021
FORD HEIGHTS,INC,326590.66,2022
FORD HEIGHTS,INC,282549.34,2023
FORD HEIGHTS,INC,302063.45,2024
FORD HEIGHTS,INC,322205.15,2025
FOREST CITY,INC,20999.43,2012
FOREST CITY,INC,23077.18,2013
FOREST CITY,INC,23452.06,2014
FOREST CITY,INC,25229.85,2015
FOREST CITY,INC,24935.49,2016
FOREST CITY,INC,23296.37,2017
FOREST CITY,INC,22237.98,2018
FOREST CITY,INC,25433.81,2019
FOREST CITY,INC,24195.75,2020
FOREST CITY,INC,31955.13,2021
FOREST CITY,INC,35283,2022
FOREST CITY,INC,34598.32,2023
FOREST CITY,INC,36987.83,2024
FOREST CITY,INC,39453.18,2025
FOREST PARK,INC,1209335.64,2012
FOREST PARK,INC,1328976.98,2013
FOREST PARK,INC,1350559.89,2014
FOREST PARK,INC,1452971.21,2015
FOREST PARK,INC,1436003.02,2016
FOREST PARK,INC,1341607.14,2017
FOREST PARK,INC,1280672.69,2018
FOREST PARK,INC,1464737.02,2019
FOREST PARK,INC,1393446.04,2020
FOREST PARK,INC,1840314.15,2021
FOREST PARK,INC,2191119.08,2022
FOREST PARK,INC,2234686.14,2023
FOREST PARK,INC,2389023.33,2024
FOREST PARK,INC,2548316.56,2025
FOREST VIEW,INC,59583.25,2012
FOREST VIEW,INC,65477.83,2013
FOREST VIEW,INC,66541.23,2014
FOREST VIEW,INC,71587.55,2015
FOREST VIEW,INC,70751.3,2016
FOREST VIEW,INC,66100.2,2017
FOREST VIEW,INC,63098.09,2018
FOREST VIEW,INC,72167.01,2019
FOREST VIEW,INC,68654.88,2020
FOREST VIEW,INC,90672.03,2021
FOREST VIEW,INC,116716.4,2022
FOREST VIEW,INC,123431.39,2023
FOREST VIEW,INC,131956.1,2024
FOREST VIEW,INC,140753.9,2025
FORREST,INC,104142.78,2012
FORREST,INC,114445.51,2013
FORREST,INC,116304.01,2014
FORREST,INC,125123.63,2015
FORREST,INC,123662.43,2016
FORREST,INC,115533.33,2017
FORREST,INC,110286.06,2018
FORREST,INC,126136.47,2019
FORREST,INC,119997.24,2020
FORREST,INC,158479.5,2021
FORREST,INC,168837.67,2022
FORREST,INC,162236.93,2023
FORREST,INC,173441.73,2024
FORREST,INC,185005.59,2025
FORRESTON,INC,123434.69,2012
FORRESTON,INC,135646.23,2013
FORRESTON,INC,137849.11,2014
FORRESTON,INC,148302.07,2015
FORRESTON,INC,146570.8,2016
FORRESTON,INC,136935.4,2017
FORRESTON,INC,130715.92,2018
FORRESTON,INC,149502.96,2019
FORRESTON,INC,142226.18,2020
FORRESTON,INC,187837.1,2021
FORRESTON,INC,220718.47,2022
FORRESTON,INC,223640.14,2023
FORRESTON,INC,239085.7,2024
FORRESTON,INC,255027.54,2025
FORSYTH,INC,297916.2,2012
FORSYTH,INC,327389.2,2013
FORSYTH,INC,332705.97,2014
FORSYTH,INC,357935.16,2015
FORSYTH,INC,353754.98,2016
FORSYTH,INC,330501.39,2017
FORSYTH,INC,315489.93,2018
FORSYTH,INC,360833.87,2019
FORSYTH,INC,343271.91,2020
FORSYTH,INC,453356.75,2021
FORSYTH,INC,560428.93,2022
FORSYTH,INC,581931.6,2023
FORSYTH,INC,622122.35,2024
FORSYTH,INC,663604.28,2025
FOX LAKE,INC,903053.88,2012
FOX LAKE,INC,992394.44,2013
FOX LAKE,INC,1008511.22,2014
FOX LAKE,INC,1084985.4,2015
FOX LAKE,INC,1072314.95,2016
FOX LAKE,INC,1001825.45,2017
FOX LAKE,INC,956323.58,2018
FOX LAKE,INC,1093770.66,2019
FOX LAKE,INC,1040535.07,2020
FOX LAKE,INC,1374227.2,2021
FOX LAKE,INC,1663899.3,2022
FOX LAKE,INC,1710885.01,2023
FOX LAKE,INC,1829046.21,2024
FOX LAKE,INC,1951002.96,2025
FOX RIVER GROVE,INC,414351.08,2012
FOX RIVER GROVE,INC,455343.05,2013
FOX RIVER GROVE,INC,462737.79,2014
FOX RIVER GROVE,INC,497827.92,2015
FOX RIVER GROVE,INC,492014.26,2016
FOX RIVER GROVE,INC,459671.34,2017
FOX RIVER GROVE,INC,438793.33,2018
FOX RIVER GROVE,INC,501858.31,2019
FOX RIVER GROVE,INC,477432.02,2020
FOX RIVER GROVE,INC,630541.01,2021
FOX RIVER GROVE,INC,729130.78,2022
FOX RIVER GROVE,INC,732790.86,2023
FOX RIVER GROVE,INC,783400.57,2024
FOX RIVER GROVE,INC,835636.21,2025
FRANKFORT,INC,1517922.95,2012
FRANKFORT,INC,1668092.36,2013
FRANKFORT,INC,1695182.17,2014
FRANKFORT,INC,1823726.73,2015
FRANKFORT,INC,1802428.25,2016
FRANKFORT,INC,1683945.8,2017
FRANKFORT,INC,1607462.9,2018
FRANKFORT,INC,1838494.27,2019
FRANKFORT,INC,1749011.52,2020
FRANKFORT,INC,2309906.91,2021
FRANKFORT,INC,2985622.29,2022
FRANKFORT,INC,3163064.27,2023
FRANKFORT,INC,3381519.32,2024
FRANKFORT,INC,3606989.43,2025
FRANKLIN,INC,52070.84,2012
FRANKLIN,INC,57222.92,2013
FRANKLIN,INC,58152.54,2014
FRANKLIN,INC,62561.59,2015
FRANKLIN,INC,61831.23,2016
FRANKLIN,INC,57766.81,2017
FRANKLIN,INC,55143.06,2018
FRANKLIN,INC,63068.51,2019
FRANKLIN,INC,59998.63,2020
FRANKLIN,INC,79239.76,2021
FRANKLIN,INC,93586.48,2022
FRANKLIN,INC,95067.03,2023
FRANKLIN,INC,101632.77,2024
FRANKLIN,INC,108409.34,2025
FRANKLIN COUNTY GOVERNMENT,INC,1103997.93,2012
FRANKLIN COUNTY GOVERNMENT,INC,1213217.53,2013
FRANKLIN COUNTY GOVERNMENT,INC,1232920.22,2014
FRANKLIN COUNTY GOVERNMENT,INC,1303176.75,2015
FRANKLIN COUNTY GOVERNMENT,INC,1267031.84,2016
FRANKLIN COUNTY GOVERNMENT,INC,1183743.05,2017
FRANKLIN COUNTY GOVERNMENT,INC,1129978.81,2018
FRANKLIN COUNTY GOVERNMENT,INC,1292384.57,2019
FRANKLIN COUNTY GOVERNMENT,INC,1229482.31,2020
FRANKLIN COUNTY GOVERNMENT,INC,1623768.43,2021
FRANKLIN COUNTY GOVERNMENT,INC,1967223.79,2022
FRANKLIN COUNTY GOVERNMENT,INC,2023358.19,2023
FRANKLIN COUNTY GOVERNMENT,INC,2163100.17,2024
FRANKLIN COUNTY GOVERNMENT,INC,2307329.93,2025
FRANKLIN GROVE,INC,87155.31,2012
FRANKLIN GROVE,INC,95777.98,2013
FRANKLIN GROVE,INC,97333.6,2014
FRANKLIN GROVE,INC,104714,2015
FRANKLIN GROVE,INC,103491.26,2016
FRANKLIN GROVE,INC,96688.2,2017
FRANKLIN GROVE,INC,92296.79,2018
FRANKLIN GROVE,INC,105561.89,2019
FRANKLIN GROVE,INC,100424.08,2020
FRANKLIN GROVE,INC,132629.35,2021
FRANKLIN GROVE,INC,143838.5,2022
FRANKLIN GROVE,INC,139639.29,2023
FRANKLIN GROVE,INC,149283.4,2024
FRANKLIN GROVE,INC,159236.6,2025
FRANKLIN PARK,INC,1564957.78,2012
FRANKLIN PARK,INC,1719780.99,2013
FRANKLIN PARK,INC,1747710.54,2014
FRANKLIN PARK,INC,1880237.59,2015
FRANKLIN PARK,INC,1858279.18,2016
FRANKLIN PARK,INC,1736125.48,2017
FRANKLIN PARK,INC,1657272.27,2018
FRANKLIN PARK,INC,1895462.45,2019
FRANKLIN PARK,INC,1803207.19,2020
FRANKLIN PARK,INC,2381482.79,2021
FRANKLIN PARK,INC,2826373.8,2022
FRANKLIN PARK,INC,2878020.95,2023
FRANKLIN PARK,INC,3076789.64,2024
FRANKLIN PARK,INC,3281941.36,2025
FREEBURG,INC,371669.88,2012
FREEBURG,INC,408439.6,2013
FREEBURG,INC,415072.7,2014
FREEBURG,INC,446547.31,2015
FREEBURG,INC,441332.3,2016
FREEBURG,INC,412321.48,2017
FREEBURG,INC,393593.95,2018
FREEBURG,INC,450163.01,2019
FREEBURG,INC,428252.76,2020
FREEBURG,INC,565590.34,2021
FREEBURG,INC,691343.95,2022
FREEBURG,INC,714088.95,2023
FREEBURG,INC,763407.06,2024
FREEBURG,INC,814309.01,2025
FREEMANSPUR,INC,24498.76,2012
FREEMANSPUR,INC,26922.76,2013
FREEMANSPUR,INC,27360.17,2014
FREEMANSPUR,INC,29434.92,2015
FREEMANSPUR,INC,29091.26,2016
FREEMANSPUR,INC,27178.5,2017
FREEMANSPUR,INC,25944.37,2018
FREEMANSPUR,INC,29673.62,2019
FREEMANSPUR,INC,28229.42,2020
FREEMANSPUR,INC,37282.4,2021
FREEMANSPUR,INC,42085.56,2022
FREEMANSPUR,INC,41766.79,2023
FREEMANSPUR,INC,44651.38,2024
FREEMANSPUR,INC,47629.08,2025
FREEPORT,INC,2188534.18,2012
FREEPORT,INC,2405047.76,2013
FREEPORT,INC,2444105.68,2014
FREEPORT,INC,2629440.16,2015
FREEPORT,INC,2598732.99,2016
FREEPORT,INC,2427904.89,2017
FREEPORT,INC,2317631.88,2018
FREEPORT,INC,2650732.11,2019
FREEPORT,INC,2521716.54,2020
FREEPORT,INC,3330412.88,2021
FREEPORT,INC,3762834.88,2022
FREEPORT,INC,3736112.2,2023
FREEPORT,INC,3994144.41,2024
FREEPORT,INC,4260463.13,2025
FULTON,INC,297148.41,2012
FULTON,INC,326545.47,2013
FULTON,INC,331848.51,2014
FULTON,INC,357012.23,2015
FULTON,INC,352842.89,2016
FULTON,INC,329648.85,2017
FULTON,INC,314676.49,2018
FULTON,INC,359903.46,2019
FULTON,INC,342386.66,2020
FULTON,INC,452187.6,2021
FULTON,INC,551058.89,2022
FULTON,INC,568373.42,2023
FULTON,INC,607627.77,2024
FULTON,INC,648142.29,2025
FULTON COUNTY GOVERNMENT,INC,833397.54,2012
FULTON COUNTY GOVERNMENT,INC,915846.82,2013
FULTON COUNTY GOVERNMENT,INC,930720.47,2014
FULTON COUNTY GOVERNMENT,INC,1001296.11,2015
FULTON COUNTY GOVERNMENT,INC,989602.51,2016
FULTON COUNTY GOVERNMENT,INC,924550.79,2017
FULTON COUNTY GOVERNMENT,INC,882558.52,2018
FULTON COUNTY GOVERNMENT,INC,1009403.89,2019
FULTON COUNTY GOVERNMENT,INC,960274.34,2020
FULTON COUNTY GOVERNMENT,INC,1268227.41,2021
FULTON COUNTY GOVERNMENT,INC,1441502.58,2022
FULTON COUNTY GOVERNMENT,INC,1435815.62,2023
FULTON COUNTY GOVERNMENT,INC,1534979.32,2024
FULTON COUNTY GOVERNMENT,INC,1637327.55,2025
FULTS,INC,2218.99,2012
FULTS,INC,2438.57,2013
FULTS,INC,2478.18,2014
FULTS,INC,2666.8,2015
FULTS,INC,2635.69,2016
FULTS,INC,2462.02,2017
FULTS,INC,2350.25,2018
FULTS,INC,2687.84,2019
FULTS,INC,2556.99,2020
FULTS,INC,3377,2021
FULTS,INC,4193.13,2022
FULTS,INC,4362.98,2023
FULTS,INC,4664.31,2024
FULTS,INC,4976.12,2025
GALATIA,INC,79644.02,2012
GALATIA,INC,87522.73,2013
GALATIA,INC,88943.84,2014
GALATIA,INC,95688.89,2015
GALATIA,INC,94570.8,2016
GALATIA,INC,88354.57,2017
GALATIA,INC,84341.81,2018
GALATIA,INC,96463.9,2019
GALATIA,INC,91769.08,2020
GALATIA,INC,121198.76,2021
GALATIA,INC,132283.14,2022
GALATIA,INC,128884.6,2023
GALATIA,INC,137785.95,2024
GALATIA,INC,146973.47,2025
GALENA,INC,292709.32,2012
GALENA,INC,321667.17,2013
GALENA,INC,326890.97,2014
GALENA,INC,351679.32,2015
GALENA,INC,347572.07,2016
GALENA,INC,324724.46,2017
GALENA,INC,309975.57,2018
GALENA,INC,354526.94,2019
GALENA,INC,337271.43,2020
GALENA,INC,445431.94,2021
GALENA,INC,513682.74,2022
GALENA,INC,515540.43,2023
GALENA,INC,551145.91,2024
GALENA,INC,587894.82,2025
GALESBURG,INC,2748258.02,2012
GALESBURG,INC,3020145.73,2013
GALESBURG,INC,3069192.97,2014
GALESBURG,INC,3301927.8,2015
GALESBURG,INC,3263366.4,2016
GALESBURG,INC,3048849.19,2017
GALESBURG,INC,2910373.51,2018
GALESBURG,INC,3328665.84,2019
GALESBURG,INC,3166654.57,2020
GALESBURG,INC,4182177.9,2021
GALESBURG,INC,4719848.31,2022
GALESBURG,INC,4683503.73,2023
GALESBURG,INC,5006966.96,2024
GALESBURG,INC,5340818.62,2025
GALLATIN COUNTY GOVERNMENT,INC,159201.5,2012
GALLATIN COUNTY GOVERNMENT,INC,174951.94,2013
GALLATIN COUNTY GOVERNMENT,INC,177793.36,2014
GALLATIN COUNTY GOVERNMENT,INC,191274.73,2015
GALLATIN COUNTY GOVERNMENT,INC,189041.43,2016
GALLATIN COUNTY GOVERNMENT,INC,176614.44,2017
GALLATIN COUNTY GOVERNMENT,INC,168592.87,2018
GALLATIN COUNTY GOVERNMENT,INC,192823.19,2019
GALLATIN COUNTY GOVERNMENT,INC,183438.1,2020
GALLATIN COUNTY GOVERNMENT,INC,242265.4,2021
GALLATIN COUNTY GOVERNMENT,INC,272197.11,2022
GALLATIN COUNTY GOVERNMENT,INC,269458.42,2023
GALLATIN COUNTY GOVERNMENT,INC,288068.38,2024
GALLATIN COUNTY GOVERNMENT,INC,307276.07,2025
GALVA,INC,221004.84,2012
GALVA,INC,242868.75,2013
GALVA,INC,246812.8,2014
GALVA,INC,265528.63,2015
GALVA,INC,262427.87,2016
GALVA,INC,245176.88,2017
GALVA,INC,234041.2,2018
GALVA,INC,267678.61,2019
GALVA,INC,254649.98,2020
GALVA,INC,336314.41,2021
GALVA,INC,385014.47,2022
GALVA,INC,384940.57,2023
GALVA,INC,411526.27,2024
GALVA,INC,438966.59,2025
GARDNER,INC,124885.91,2012
GARDNER,INC,137241.07,2013
GARDNER,INC,139469.84,2014
GARDNER,INC,150045.7,2015
GARDNER,INC,148293.49,2016
GARDNER,INC,138545.19,2017
GARDNER,INC,132252.57,2018
GARDNER,INC,151261.18,2019
GARDNER,INC,143899.17,2020
GARDNER,INC,190046.61,2021
GARDNER,INC,214518.6,2022
GARDNER,INC,212887.46,2023
GARDNER,INC,227590.37,2024
GARDNER,INC,242765.15,2025
GARRETT,INC,13828.75,2012
GARRETT,INC,15197.02,2013
GARRETT,INC,15443.93,2014
GARRETT,INC,16615.22,2015
GARRETT,INC,16420.99,2016
GARRETT,INC,15341.24,2017
GARRETT,INC,14644.62,2018
GARRETT,INC,16749.74,2019
GARRETT,INC,15934.62,2020
GARRETT,INC,21044.75,2021
GARRETT,INC,20757.2,2022
GARRETT,INC,19013.43,2023
GARRETT,INC,20326.55,2024
GARRETT,INC,21682.48,2025
GAYS,INC,23987.29,2012
GAYS,INC,26359.89,2013
GAYS,INC,26787.77,2014
GAYS,INC,28819.54,2015
GAYS,INC,28482.71,2016
GAYS,INC,26610.62,2017
GAYS,INC,25402.16,2018
GAYS,INC,29053.08,2019
GAYS,INC,27639.27,2020
GAYS,INC,36502.98,2021
GAYS,INC,36658.68,2022
GAYS,INC,33975.34,2023
GAYS,INC,36321.81,2024
GAYS,INC,38742.64,2025
GENESEO,INC,562200.21,2012
GENESEO,INC,617819.36,2013
GENESEO,INC,627852.85,2014
GENESEO,INC,675462.2,2015
GENESEO,INC,667573.92,2016
GENESEO,INC,623690.66,2017
GENESEO,INC,595363.05,2018
GENESEO,INC,680932.04,2019
GENESEO,INC,647790.12,2020
GENESEO,INC,855531.73,2021
GENESEO,INC,1005610.48,2022
GENESEO,INC,1019082.17,2023
GENESEO,INC,1089464.47,2024
GENESEO,INC,1162106.24,2025
GENEVA,INC,1834875.86,2012
GENEVA,INC,2016401.84,2013
GENEVA,INC,2049148.24,2014
GENEVA,INC,2204532.95,2015
GENEVA,INC,2178787.15,2016
GENEVA,INC,2035564.9,2017
GENEVA,INC,1943111.82,2018
GENEVA,INC,2222384.41,2019
GENEVA,INC,2114217.27,2020
GENEVA,INC,2792231.53,2021
GENEVA,INC,3287314.96,2022
GENEVA,INC,3334029.2,2023
GENEVA,INC,3564291.81,2024
GENEVA,INC,3801947.99,2025
GENOA,INC,443290.05,2012
GENOA,INC,487144.57,2013
GENOA,INC,495055.48,2014
GENOA,INC,532595.32,2015
GENOA,INC,526375.42,2016
GENOA,INC,491774.28,2017
GENOA,INC,469438.32,2018
GENOA,INC,536908.59,2019
GENOA,INC,510776.68,2020
GENOA,INC,674579.09,2021
GENOA,INC,807465.14,2022
GENOA,INC,825675.41,2023
GENOA,INC,882700.16,2024
GENOA,INC,941556.33,2025
GEORGETOWN,INC,296550.38,2012
GEORGETOWN,INC,325888.29,2013
GEORGETOWN,INC,331180.66,2014
GEORGETOWN,INC,356294.21,2015
GEORGETOWN,INC,352133.79,2016
GEORGETOWN,INC,328985.71,2017
GEORGETOWN,INC,314043.77,2018
GEORGETOWN,INC,359179.38,2019
GEORGETOWN,INC,341697.71,2020
GEORGETOWN,INC,451277.69,2021
GEORGETOWN,INC,499076.49,2022
GEORGETOWN,INC,489825.82,2023
GEORGETOWN,INC,523655.32,2024
GEORGETOWN,INC,558570.93,2025
GERMAN VALLEY,INC,39523.54,2012
GERMAN VALLEY,INC,43433.37,2013
GERMAN VALLEY,INC,44138.59,2014
GERMAN VALLEY,INC,47485.76,2015
GERMAN VALLEY,INC,46930.84,2016
GERMAN VALLEY,INC,43845.61,2017
GERMAN VALLEY,INC,41854.45,2018
GERMAN VALLEY,INC,47869.68,2019
GERMAN VALLEY,INC,45539.43,2020
GERMAN VALLEY,INC,60143.59,2021
GERMAN VALLEY,INC,67960.1,2022
GERMAN VALLEY,INC,67481.41,2023
GERMAN VALLEY,INC,72141.99,2024
GERMAN VALLEY,INC,76952.96,2025
GERMANTOWN,INC,108325.58,2012
GERMANTOWN,INC,119042.17,2013
GERMANTOWN,INC,120975.31,2014
GERMANTOWN,INC,130148.74,2015
GERMANTOWN,INC,128628.8,2016
GERMANTOWN,INC,120173.66,2017
GERMANTOWN,INC,114715.59,2018
GERMANTOWN,INC,131203.34,2019
GERMANTOWN,INC,124817.42,2020
GERMANTOWN,INC,164845.44,2021
GERMANTOWN,INC,200324.42,2022
GERMANTOWN,INC,206341.97,2023
GERMANTOWN,INC,220592.86,2024
GERMANTOWN,INC,235301.37,2025
GERMANTOWN HILLS,INC,293478.19,2012
GERMANTOWN HILLS,INC,322512.13,2013
GERMANTOWN HILLS,INC,327749.58,2014
GERMANTOWN HILLS,INC,352602.03,2015
GERMANTOWN HILLS,INC,348484.19,2016
GERMANTOWN HILLS,INC,325576.66,2017
GERMANTOWN HILLS,INC,310789.44,2018
GERMANTOWN HILLS,INC,355457.32,2019
GERMANTOWN HILLS,INC,338156.68,2020
GERMANTOWN HILLS,INC,446601.09,2021
GERMANTOWN HILLS,INC,524794.26,2022
GERMANTOWN HILLS,INC,531748.36,2023
GERMANTOWN HILLS,INC,568473.23,2024
GERMANTOWN HILLS,INC,606377.51,2025
GIBSON CITY,INC,290830.95,2012
GIBSON CITY,INC,319603.69,2013
GIBSON CITY,INC,324794.42,2014
GIBSON CITY,INC,349422.95,2015
GIBSON CITY,INC,345341.98,2016
GIBSON CITY,INC,322641.09,2017
GIBSON CITY,INC,307986.95,2018
GIBSON CITY,INC,352252,2019
GIBSON CITY,INC,335107.06,2020
GIBSON CITY,INC,442573.45,2021
GIBSON CITY,INC,529666.31,2022
GIBSON CITY,INC,541566.55,2023
GIBSON CITY,INC,578969.5,2024
GIBSON CITY,INC,617574.09,2025
GIFFORD,INC,83228.8,2012
GIFFORD,INC,91463,2013
GIFFORD,INC,92948.44,2014
GIFFORD,INC,99995.77,2015
GIFFORD,INC,98828.07,2016
GIFFORD,INC,92331.73,2017
GIFFORD,INC,88138.24,2018
GIFFORD,INC,100805.45,2019
GIFFORD,INC,95899.01,2020
GIFFORD,INC,126653.14,2021
GIFFORD,INC,143028.14,2022
GIFFORD,INC,141975.55,2023
GIFFORD,INC,151780.99,2024
GIFFORD,INC,161902.73,2025
GILBERTS,INC,587211.56,2012
GILBERTS,INC,645304.66,2013
GILBERTS,INC,655784.24,2014
GILBERTS,INC,705512.07,2015
GILBERTS,INC,697272.8,2016
GILBERTS,INC,651437.43,2017
GILBERTS,INC,621849.93,2018
GILBERTS,INC,711224.87,2019
GILBERTS,INC,676608.44,2020
GILBERTS,INC,893591.92,2021
GILBERTS,INC,1207689.55,2022
GILBERTS,INC,1303814.02,2023
GILBERTS,INC,1393861.09,2024
GILBERTS,INC,1486799.04,2025
GILLESPIE,INC,283319.65,2012
GILLESPIE,INC,311348.44,2013
GILLESPIE,INC,316404.59,2014
GILLESPIE,INC,340397.22,2015
GILLESPIE,INC,336421.91,2016
GILLESPIE,INC,314307.62,2017
GILLESPIE,INC,300032.22,2018
GILLESPIE,INC,343153.99,2019
GILLESPIE,INC,326452.05,2020
GILLESPIE,INC,431142.87,2021
GILLESPIE,INC,493733.45,2022
GILLESPIE,INC,493721.55,2023
GILLESPIE,INC,527820.12,2024
GILLESPIE,INC,563014.14,2025
GILMAN,INC,154847.86,2012
GILMAN,INC,170167.5,2013
GILMAN,INC,172931.24,2014
GILMAN,INC,186044.27,2015
GILMAN,INC,183872.09,2016
GILMAN,INC,171784.81,2017
GILMAN,INC,163982.73,2018
GILMAN,INC,187551.28,2019
GILMAN,INC,178422.91,2020
GILMAN,INC,235641.86,2021
GILMAN,INC,270519.81,2022
GILMAN,INC,270862.14,2023
GILMAN,INC,289569.08,2024
GILMAN,INC,308876.93,2025
GIRARD,INC,179518.59,2012
GIRARD,INC,197278.48,2013
GIRARD,INC,200482.19,2014
GIRARD,INC,215684.09,2015
GIRARD,INC,213165.41,2016
GIRARD,INC,199152.96,2017
GIRARD,INC,190107.61,2018
GIRARD,INC,217431.21,2019
GIRARD,INC,206848.66,2020
GIRARD,INC,273183.55,2021
GIRARD,INC,290069.8,2022
GIRARD,INC,278186.38,2023
GIRARD,INC,297399.13,2024
GIRARD,INC,317229.04,2025
GLADSTONE,INC,23987.29,2012
GLADSTONE,INC,26359.89,2013
GLADSTONE,INC,26787.77,2014
GLADSTONE,INC,28819.54,2015
GLADSTONE,INC,28482.71,2016
GLADSTONE,INC,26610.62,2017
GLADSTONE,INC,25402.16,2018
GLADSTONE,INC,29053.08,2019
GLADSTONE,INC,27639.27,2020
GLADSTONE,INC,36502.98,2021
GLADSTONE,INC,38296.53,2022
GLADSTONE,INC,36467.33,2023
GLADSTONE,INC,38985.91,2024
GLADSTONE,INC,41586.25,2025
GLASFORD,INC,87240.75,2012
GLASFORD,INC,95871.88,2013
GLASFORD,INC,97429.03,2014
GLASFORD,INC,104816.69,2015
GLASFORD,INC,103592.74,2016
GLASFORD,INC,96782.83,2017
GLASFORD,INC,92387.01,2018
